unique_sciname,unique_common_name,genus_name,species_name
,common baldcypress,NA,NA
,spp. serviceberry,NA,NA
,emerald city tuliptree,NA,NA
,spp. spruce,NA,NA
,wright brothers sugar maple,NA,NA
,heritage river birch,NA,NA
,arborvitae spp.,NA,NA
,spp. cherry/plum,NA,NA
,kindred spirit oak,NA,NA
,fraser fir,NA,NA
,exclamation planetree,NA,NA
,red pointe maple,NA,NA
,slender sweetgum,NA,NA
,common pawpaw,NA,NA
,streetkeeper honeylocust,NA,NA
,spp. hawthorn,NA,NA
,magnifica hackberry,NA,NA
,apollo maple,NA,NA
,pacific brilliance pin oak,NA,NA
,patriot elm,NA,NA
,spp. yew,NA,NA
,sentry ginkgo,NA,NA
,winged elm,NA,NA
,sentry linden,NA,NA
,eastern arborvitae,NA,NA
,streetspire oak,NA,NA
,spp. mulberry,NA,NA
,spp. pine,NA,NA
,corinthian linden,NA,NA
,spp. willow,NA,NA
,foster,NA,NA
,corneliancherry dogwood,NA,NA
,spp. honeysuckle,NA,NA
,spp. oak,NA,NA
,spp. ash,NA,NA
,spring flurry serviceberry,NA,NA
,roughleaf dogwood,NA,NA
,red sunset maple,NA,NA
,common peach,NA,NA
,gray dogwood,NA,NA
,spp. juniper,NA,NA
,starpower juniper,NA,NA
,skyward baldcypress,NA,NA
,spp. birch,NA,NA
,spp. sumac,NA,NA
,european filbert,NA,NA
,bigleaf magnolia,NA,NA
fraxinus pennsylvanica,green ash,fraxinus,pennsylvanica
catalpa speciosa,western catalpa,catalpa,speciosa
fraxinus americana,white ash,fraxinus,americana
quercus bicolor,swamp white oak,quercus,bicolor
tilia cordata,littleleaf linden,tilia,cordata
quercus palustris,pin oak,quercus,palustris
acer platanoides,norway maple,acer,platanoides
tilia americana,american linden,tilia,americana
acer saccharum,sugar maple,acer,saccharum
juniperus spp,,juniperus,spp
amelanchier canadensis,shadblow serviceberry,amelanchier,canadensis
quercus gambelii,gambel oak,quercus,gambelii
malus sylvestris,european crabapple,malus,sylvestris
ulmus pumila,siberian elm,ulmus,pumila
gleditsia triacanthos,honeylocust,gleditsia,triacanthos
pinus nigra,austrian pine,pinus,nigra
pinus sylvestris,scotch pine,pinus,sylvestris
pinus mugo,mugo pine,pinus,mugo
celtis occidentalis,northern hackberry,celtis,occidentalis
acer x freemanii,freeman maple,acer,freemanii
populus deltoides,eastern cottonwood,populus,deltoides
populus deltoides,plains cottonwood,populus,deltoides
acer saccharinum,silver maple,acer,saccharinum
pinus ponderosa,ponderosa pine,pinus,ponderosa
populus tremuloides,quaking aspen,populus,tremuloides
malus x indian magic,indian magic crabapple,malus,indian
aesculus glabra,ohio buckeye,aesculus,glabra
platanus x acerifolia,london planetree,platanus,acerifolia
gymnocladus dioicus,kentucky coffeetree,gymnocladus,dioicus
pinus eldarica,afghan pine,pinus,eldarica
acer rubrum,red maple,acer,rubrum
picea pungens,blue spruce,picea,pungens
syringa reticulata,japanese tree lilac,syringa,reticulata
cercis canadensis,eastern redbud,cercis,canadensis
pinus edulis,pinyon pine,pinus,edulis
acer ginnala,amur maple,acer,ginnala
ulmus americana,american elm,ulmus,americana
quercus rubra,northern red oak,quercus,rubra
abies concolor,white fir,abies,concolor
crataegus spp,,crataegus,spp
prunus cerasifera,flowering plum,prunus,cerasifera
prunus virginiana,chokecherry,prunus,virginiana
koelreuteria paniculata,goldenrain tree,koelreuteria,paniculata
cercocarpus spp,mountain mahogany,cercocarpus,spp
acer grandidentatum,bigtooth maple,acer,grandidentatum
rhus spp,,rhus,spp
pyrus calleryana,flowering pear,pyrus,calleryana
quercus macrocarpa,bur oak,quercus,macrocarpa
quercus phellos,willow oak,quercus,phellos
tilia tomentosa,silver linden,tilia,tomentosa
acer negundo,boxelder,acer,negundo
juniperus scopulorum,rocky mountain juniper,juniperus,scopulorum
,cockspur thornless hawthorn,NA,NA
morus alba,white mulberry,morus,alba
quercus robur,english oak,quercus,robur
quercus alba,white oak,quercus,alba
