rounded_lng,rounded_lat,City,IDX,Genus,species_name
-121.897457,37.22989,SanJose,1,quercus,
-123.153281,49.25813,Vancouver,2,acer,
-78.899106,42.909395,Buffalo,3,prunus,virginiana
-74.181382,40.556763,NewYork,4,acer,rubrum
-118.440756,34.182601,LosAngeles,5,ginkgo,biloba
-121.924927,37.336915,SanJose,6,robinia,
-118.439796,34.052808,LosAngeles,7,podocarpus,gracilior
-73.861499,40.689065,NewYork,8,tilia,cordata
-118.51444,34.270984,LosAngeles,9,persea,americana
-73.600517,45.594876,Montreal,10,ginkgo,
-104.762773,39.78373,Denver,11,syringa,reticulata
-104.92474,39.713422,Denver,12,prunus,virginiana
-73.628815,45.511592,Montreal,13,celtis,
-73.650734,45.463878,Montreal,14,amelanchier,
-74.007367,40.738788,NewYork,15,ginkgo,biloba
-104.976879,39.698562,Denver,16,tilia,cordata
-73.747019,40.598836,NewYork,17,styphnolobium,japonicum
-83.105338,40.082961,Columbus,18,acer,
-114.179074,51.055732,Calgary,19,quercus,macrocarpa
-118.441237,33.956412,LosAngeles,20,eucalyptus,polyanthemos
-73.681979,45.504425,Montreal,21,acer,
-118.250031,33.99914,LosAngeles,22,eriobotrya,japonica
-80.444377,43.429557,Kitchener,23,fraxinus,pennsylvanica
-122.446503,37.768269,SanFrancisco,24,eriobotrya,
-121.897517,37.263895,SanJose,25,zelkova,
-122.401975,37.776623,SanFrancisco,26,syagrus,romanzoffianum
-122.353073,47.702122,Seattle,27,catalpa,
-113.438483,53.453672,Edmonton,28,ulmus,americana
-122.330957,47.68795,Seattle,29,prunus,
-118.460394,34.014918,SantaMonica,30,ficus,microcarpa
-83.014198,40.120945,Columbus,31,fraxinus,
-105.288159,40.017371,Boulder,32,acer,saccharinum
-73.944097,40.776024,NewYork,33,styphnolobium,japonicum
-121.830457,37.342065,SanJose,34,syagrus,
-118.436571,33.960494,LosAngeles,35,pinus,thunbergiana
-77.00977,38.820823,WashingtonDc,36,quercus,
-76.925488,38.889652,WashingtonDc,37,celtis,
-105.273641,40.005109,Boulder,38,acer,rubrum
-73.796473,40.71134,NewYork,39,gymnocladus,dioicus
-122.876092,49.144919,Surrey,40,carpinus,betulus
-118.363688,34.039299,LosAngeles,41,melaleuca,quinquenervia
-96.664559,43.537171,Buffalo,42,platanus,macrocarpa
-83.073521,40.130956,Columbus,43,ulmus,
-122.495487,37.754571,SanFrancisco,44,quercus,
-73.774494,40.779978,NewYork,45,pyrus,calleryana
-83.072897,40.129901,Columbus,46,pyrus,
-118.42409,33.957235,LosAngeles,47,magnolia,grandiflora
-73.831677,40.716915,NewYork,48,tilia,americana
-73.8453,40.833384,NewYork,49,robinia,pseudoacacia
-121.776494,37.286488,SanJose,50,quercus,
-113.458853,53.512244,Edmonton,51,fraxinus,
-105.049844,39.775353,Denver,52,gymnocladus,dioicus
-78.821671,42.856922,Buffalo,53,gleditsia,triacanthos
-76.936748,38.890726,WashingtonDc,54,betula,
-118.491258,34.028719,SantaMonica,55,ficus,benjamina
-105.280697,40.061753,Boulder,56,pinus,ponderosa
-118.443425,34.01398,LosAngeles,57,schinus,terebinthifolius
-123.15386,49.2647,Vancouver,58,syringa,
-73.601896,45.55601,Montreal,59,carya,
-104.937745,39.751126,Denver,60,platanus,acerifolia
-118.590912,34.2608,LosAngeles,61,schinus,molle
-118.379019,34.278971,Buffalo,62,acer,styraciflua
-122.405923,37.713577,SanFrancisco,63,olea,europaea
-118.458892,34.047328,LosAngeles,64,cupressus,sempervirens
-122.339629,47.517332,Seattle,65,carpinus,caroliniana
-118.437289,33.988841,LosAngeles,66,ficus,
-122.329436,47.684787,Seattle,67,magnolia,grandiflora
-96.804195,43.529253,SiouxFalls,68,quercus,bicolor
-74.102012,40.645229,NewYork,69,maackia,amurensis
-122.40758,37.747943,SanFrancisco,70,jacaranda,mimosifolia
-76.944412,38.881404,WashingtonDc,71,magnolia,
-83.100066,40.076296,Columbus,72,acer,
-96.797291,43.506137,LosAngeles,73,catalpa,pennsylvanica
-118.312755,33.979088,LosAngeles,74,callistemon,viminalis
