               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059949,            0.025447,                   0,             0.75851,             0.65645,             0.74397,             0.28827,            0.051187,            0.025787,                   0,            0.070001,           0.0033332,           0.0033332
                   1,            0.037632,            0.020641,                   0,             0.81862,             0.72777,             0.84146,             0.47522,            0.040029,            0.025682,                   0,            0.039761,           0.0064266,           0.0064266
                   2,            0.035639,            0.020028,                   0,             0.82984,             0.74476,              0.8591,             0.52692,            0.036521,            0.025004,                   0,           0.0092809,           0.0092799,           0.0092799
                   3,            0.034511,            0.019668,                   0,             0.83425,             0.76845,             0.87617,             0.56344,            0.033628,            0.023473,                   0,             0.00892,             0.00892,             0.00892
                   4,            0.033704,            0.019394,                   0,             0.84077,             0.78623,             0.89002,             0.60176,            0.029837,            0.021737,                   0,             0.00892,             0.00892,             0.00892
                   5,            0.033161,            0.019187,                   0,             0.84647,             0.79473,             0.89747,             0.62317,            0.027901,            0.020962,                   0,             0.00856,             0.00856,             0.00856
                   6,              0.0327,            0.019045,                   0,             0.84978,             0.79923,             0.90108,             0.63648,            0.026676,            0.020597,                   0,              0.0082,              0.0082,              0.0082
                   7,            0.032343,            0.018921,                   0,             0.85028,             0.80376,             0.90369,             0.64418,            0.026023,            0.020393,                   0,             0.00784,             0.00784,             0.00784
                   8,            0.032089,            0.018815,                   0,             0.85206,             0.80527,             0.90535,             0.65075,            0.025518,            0.020264,                   0,             0.00748,             0.00748,             0.00748
                   9,            0.031803,            0.018718,                   0,             0.85506,             0.80607,             0.90717,             0.65622,            0.025123,            0.020147,                   0,             0.00712,             0.00712,             0.00712
                  10,            0.031596,            0.018626,                   0,             0.85629,              0.8073,             0.90838,             0.66208,            0.024724,            0.020051,                   0,             0.00676,             0.00676,             0.00676
                  11,            0.031373,             0.01854,                   0,             0.85824,             0.80851,              0.9099,             0.66573,            0.024505,            0.019954,                   0,              0.0064,              0.0064,              0.0064
                  12,            0.031164,            0.018456,                   0,             0.86001,             0.80928,             0.91084,             0.66775,            0.024369,            0.019879,                   0,             0.00604,             0.00604,             0.00604
                  13,            0.030938,             0.01837,                   0,             0.86082,             0.81032,             0.91183,             0.67066,            0.024194,            0.019799,                   0,             0.00568,             0.00568,             0.00568
                  14,            0.030709,            0.018295,                   0,             0.86109,             0.81221,             0.91309,             0.67394,            0.024021,            0.019703,                   0,             0.00532,             0.00532,             0.00532
                  15,            0.030517,            0.018211,                   0,             0.86258,             0.81285,             0.91417,             0.67698,            0.023748,            0.019628,                   0,             0.00496,             0.00496,             0.00496
                  16,            0.030289,            0.018124,                   0,             0.86153,             0.81457,              0.9147,             0.67895,            0.023632,            0.019579,                   0,              0.0046,              0.0046,              0.0046
                  17,            0.030053,            0.018036,                   0,             0.86263,             0.81523,             0.91539,             0.68132,            0.023488,            0.019508,                   0,             0.00424,             0.00424,             0.00424
                  18,            0.029817,            0.017955,                   0,             0.86343,             0.81611,             0.91614,             0.68308,            0.023364,            0.019448,                   0,             0.00388,             0.00388,             0.00388
                  19,            0.029592,             0.01785,                   0,             0.86499,             0.81704,             0.91728,             0.68602,            0.023211,            0.019363,                   0,             0.00352,             0.00352,             0.00352
                  20,            0.029339,            0.017744,                   0,             0.86498,             0.81945,             0.91841,             0.68912,            0.023017,            0.019271,                   0,             0.00316,             0.00316,             0.00316
                  21,            0.029037,            0.017638,                   0,             0.86531,             0.82127,             0.91932,             0.68972,            0.023053,            0.019217,                   0,              0.0028,              0.0028,              0.0028
                  22,            0.028724,             0.01752,                   0,             0.86602,             0.82245,             0.92032,             0.69352,            0.022815,            0.019132,                   0,             0.00244,             0.00244,             0.00244
                  23,            0.028388,            0.017387,                   0,             0.86736,             0.82311,              0.9213,             0.69598,             0.02266,            0.019042,                   0,             0.00208,             0.00208,             0.00208
                  24,            0.028052,            0.017241,                   0,             0.86871,             0.82411,              0.9223,             0.69892,            0.022514,             0.01896,                   0,             0.00172,             0.00172,             0.00172
